Checkpoint,Bracket,,APC,AXIN1,BIRC5,CCNA1,CCNA2,CCND2,CCND3,CCNE1,CCNE2,CD44,DKK1,DKK4,ICAM1,JUNB,MMP2,MMP7,MMP9,MYC,NANOG,PARP1,RYK,SFRP4,VEGFA,WNT2,CDC45,CDC6,CDC7,CK2,DLL1,DLL3,JAG1,BMP2,BMPR1A,BMPR1B,LEF1,RUNX1,RUNX1T1,RUNX2,SNAIL1,TCF3,TCF4,TCF7,TLE1,TLE2,TLE3,TLE4,CCND1,CCNB1,CCNB2,FOXM1,CXCR4,CDC25C
12M,0.1-1%,DKK1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,,,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,,-0.0,,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
12M,0.1-1%,DKK4,-0.8644574254824687,0.9359399063965271,-0.8411499140901986,0.6653441812401836,-0.907362403226054,-0.3313637918075279,-0.980264371871913,-0.9118075577544825,-0.9477228173590471,-0.07353288437421049,,0.0,-0.6361550819262232,-0.36238710573196214,-0.21847084685086846,0.36486819415926514,-0.9449415468287196,-0.6989963849523483,-0.27974184541940805,-0.15559078276447255,-0.8611398095180417,,-0.3409619880804175,,0.661731039546505,0.5061798312077203,-0.8608514991322714,-0.7524586937034207,0.8787447602591882,0.8830750921826257,0.36738118087508287,-1.0,-0.46708274525804366,-1.0,1.0000000000000002,-0.6323158109608286,-1.0000000000000002,-1.0000000000000002,-0.9999999999999999,-0.21918473393032414,0.2912748894759834,-0.2703641815154396,0.04380165776586946,-1.0000000000000002,-0.904472810351666,-1.0000000000000002,0.34036584846417345,-0.7498717451505212,-0.9219670781184214,-0.9683526517696106,0.11645428086676876,-0.4999682656476651
12M,0.1-1%,ICAM1,0.9377974660000236,-0.3236901202122144,0.9523636552694085,0.15273672203500796,0.9015483620082343,-0.5171716146080129,0.47106939515711116,0.8968677810852297,0.35669755044566376,-0.7226941230721209,-0.0,-0.6361550819262232,1.0,0.9496508056681014,-0.6139416403414154,-0.9504819118167132,0.8536144178888496,0.9964329733884697,0.9187160307221844,-0.6631849668266088,0.1555812776607839,-0.0,0.9422317200806181,-0.0,-0.9994348810138638,-0.9874248350243269,0.9402488136041508,0.9868610712727561,-0.19075795413581748,-0.1997317315819628,-0.9513177043868057,1.0,0.9793619916122347,1.0,-1.0000000000000002,0.9999876702834224,1.0000000000000002,1.0000000000000002,0.9999999999999999,-0.6133639715980336,-0.9234018598135331,0.9148203795853725,0.7429560615922187,1.0000000000000002,0.9044799705748839,1.0000000000000002,0.5089682143188775,0.9874866810637333,0.8853152138011297,0.8085932927227856,0.6922285731906509,0.986263103401366
12M,0.1-1%,JUNB,0.7818041628539546,-0.010949918283676252,0.808864329371806,0.4546807595692041,0.7205935437757303,-0.7592890037621391,0.1709816154743247,0.7131344549232743,0.04603738821477161,-0.9028571132530601,-0.0,-0.36238710573196214,0.9496508056681014,1.0,-0.8303421072328003,-0.9999964531117348,0.6474305929263384,0.9198237552256613,0.9961915470134032,-0.864292972584277,-0.16174726946641546,-0.0,0.9997380856733242,-0.0,-0.9385824452700615,-0.9872397656259588,0.7862296026189635,0.8865515152979678,0.12640357557587892,0.11732189657104637,-0.9999856142706484,1.0000000000000002,0.9933763191875636,1.0000000000000002,-1.0000000000000002,0.9511949365732401,1.0000000000000004,1.0000000000000004,1.0000000000000002,-0.8299341874595814,-0.997168657864738,0.9952937103746728,0.9152600017635913,1.0000000000000002,0.7253082436060723,1.0000000000000004,0.7530349841616231,0.8883577274921862,0.6950537187050148,0.583539518672215,0.883484677937875,0.9883587714275454
12M,0.1-1%,MMP2,-0.3017036604875076,-0.5481283812972345,-0.3439713862700725,-0.8738613244924484,-0.21196281407354317,0.9931046404725937,0.4070747334609303,-0.2014953317653543,0.518436339434347,0.9892664569109313,0.0,-0.21847084685086846,-0.6139416403414154,-0.8303421072328003,1.0,0.8288549651474871,-0.11289202713312346,-0.5451399300319925,-0.8757677382765502,0.9979513110704018,0.684221736292301,0.0,-0.8428778341901663,0.0,0.5870612248295183,0.7310091572862418,-0.3084931083374214,-0.47833871407078227,-0.6577423890441465,-0.6508228492752345,0.8273411165027842,0.9999999999999999,-0.7608101200791277,0.9999999999999998,-1.0,-0.6178538407514895,1.0000000000000002,1.0,0.9999999999999997,0.9999997323668421,0.8698952438576306,-0.8804345443337879,-0.9844762920969911,1.0,-0.21862682881930856,1.0,-0.9919388892173746,-0.4817765601994878,-0.17649027863793398,-0.03199998800804401,-0.9946457541562657,-0.7358946281718047
12M,0.1-1%,MMP7,-0.7834620913951859,0.013613131856126833,-0.8104275342640523,-0.4523069669530217,-0.7224376852758534,0.7575530857245247,-0.1736052002871298,-0.7149990500501301,-0.04869781304353029,0.9017088015770328,0.0,0.36486819415926514,-0.9504819118167132,-0.9999964531117348,0.8288549651474871,1.0,-0.6494581479476891,-0.9208654340333601,-0.9959557860664107,0.8629502407832751,0.15911835491643994,0.0,-0.9996735853853085,0.0,0.9394981400369247,0.9876603879753175,-0.7878726280932542,-0.8877805448273783,-0.12376107864597972,-0.11467646204064527,0.9999963536669382,-1.0,-0.9936788389769177,-1.0,1.0,-0.9520134668730399,-1.0000000000000002,-1.0000000000000002,-0.9999999999999999,0.8284454292114836,0.9969648390217557,-0.9950320842774655,-0.9141837634947626,-1.0000000000000002,-0.727139228495101,-1.0000000000000002,-0.7512798400655083,-0.8895774875413677,-0.6969661343407274,-0.585700365244177,-0.8822338421412228,-0.9887604804898352
12M,0.1-1%,MMP9,0.9813668420670509,-0.7691680383209348,0.9718091031655689,-0.38441529453455237,0.9949591628196917,0.0043682553308677366,0.8616002688666113,0.9959750712529662,0.7911223634802046,-0.25686898632699884,-0.0,-0.9449415468287196,0.8536144178888496,0.6474305929263384,-0.11289202713312346,-0.6494581479476891,1.0,0.8945277011839137,0.5785139205860645,-0.1762297227380893,0.6473687962887306,-0.0,0.6298191910507465,-0.0,-0.8706418744621567,-0.7605305593070498,0.97997204733363,0.9265621048970022,-0.6741737984327383,-0.6809033548057771,-0.6515092261460613,1.0,0.7307152180567451,1.0,-1.0000000000000002,0.8510171752304525,1.0000000000000002,1.0000000000000002,1.0,-0.11216505504816411,-0.5882876254599552,0.5705305160607249,0.285535092932234,1.0000000000000002,0.9942516786389498,1.0000000000000002,-0.013925103909549761,0.9250809114510036,0.9979343408220612,0.9967109482296777,0.21497016188036688,0.7558442142814107
12M,0.1-1%,MYC,0.9637503712866179,-0.4023802967975709,0.9747019008194093,0.06879406700197807,0.9348453624406754,-0.44310072834410535,0.543827382203554,0.9309933235600757,0.43426212366068906,-0.661789989178707,-0.0,-0.6989963849523483,0.9964329733884697,0.9198237552256613,-0.5451399300319925,-0.9208654340333601,0.8945277011839137,1.0,0.8821125505920051,-0.5976587242150615,0.2383867011392911,-0.0,0.9106040107495278,-0.0,-0.9987065095464341,-0.9705618376290304,0.9656280235210978,0.9969755702458861,-0.2729158782459252,-0.2817068881828178,-0.9219149452849371,1.0,0.9588125868246776,0.9999999999999999,-1.0,0.9960016329216755,1.0000000000000002,1.0,1.0,-0.5445264350198895,-0.8877170373877232,0.8774761844183055,0.6838216573865515,1.0000000000000002,0.937246494389765,1.0000000000000002,0.43451278557515016,0.9972724773284469,0.9213969486525997,0.8553601991036133,0.6288584064730067,0.9688057035188709
12M,0.1-1%,NANOG,0.7244605432701361,0.07627830887417093,0.7545154653156029,0.5306068542282515,0.6573941215490586,-0.8131376313273305,0.08442265441261272,0.6492947188479075,-0.04123724735325006,-0.9369059101685266,-0.0,-0.27974184541940805,0.9187160307221844,0.9961915470134032,-0.8757677382765502,-0.9959557860664107,0.5785139205860645,0.8821125505920051,1.0,-0.9048578217278722,-0.2471748926011288,-0.0,0.9979260835835706,-0.0,-0.90492194297825,-0.9695954215122308,0.7293564947365265,0.8428376151975987,0.21241455189282557,0.2034646823658383,-0.9957095296251093,1.0000000000000002,0.9795741988904807,1.0000000000000002,-1.0000000000000002,0.9206657954010977,1.0000000000000002,1.0000000000000002,1.0000000000000002,-0.8754143275088058,-0.9999275918841123,0.9999524308177159,0.9469006655738462,1.0000000000000004,0.6625210243773941,1.0000000000000002,0.8075375568570716,0.8449401924801445,0.6297194483217208,0.5105100441203563,0.920965821195293,0.9713291973570716
12M,0.1-1%,PARP1,-0.36208227289579314,-0.4934946323843027,-0.4033407391595014,-0.8409665477997965,-0.27405281429063694,0.9835698585778718,0.34780361469638876,-0.2637482794150907,0.4626656237321775,0.9965883988832349,0.0,-0.15559078276447255,-0.6631849668266088,-0.864292972584277,0.9979513110704018,0.8629502407832751,-0.1762297227380893,-0.5976587242150615,-0.9048578217278722,1.0,0.63616250607522,0.0,-0.8755779035726261,0.0,0.6376514076610106,0.7731680445288089,-0.3687186480231295,-0.5335426283495381,-0.6082039237832522,-0.6009155452124866,0.8615825659160984,1.0000000000000004,-0.8007715312789486,1.0000000000000004,-1.0000000000000004,-0.6668934788813706,1.0000000000000004,1.0000000000000007,1.0000000000000004,0.9979042364917444,0.8996693707219402,-0.9089670954052448,-0.9936886667187221,1.0000000000000004,-0.2806091807186921,1.0000000000000007,-0.9817996078901307,-0.5368530680012562,-0.23910237397377254,-0.09587963558460293,-0.9992197247210943,-0.7777062418988281
