,APC,AXIN1,BIRC5,CCNA1,CCNA2,CCND2,CCND3,CCNE1,CCNE2,CD44,DKK1,DKK4,ICAM1,JUNB,MMP2,MMP7,MMP9,MYC,NANOG,PARP1,RYK,SFRP4,VEGFA,WNT2,CDC45,CDC6,CDC7,CK2,DLL1,DLL3,JAG1,BMP2,BMPR1A,BMPR1B,LEF1,RUNX1,RUNX1T1,RUNX2,SNAIL1,TCF3,TCF4,TCF7, TLE1,TLE2,TLE3,TLE4,CCND1,CCNB1,CCNB2,FOXM1,CXCR4,CDC25C
RYK,-0.237237852,0.099899817,0.140154406,0.273146972,0.493414363,0.439224676,0.120244966,0.557381164,0.354721466,0.388770388,-0.086666231,-0.370905933,-0.208758533,-0.202216548,0.250590759,0.072286652,0.428156382,0.638437652,-0.546749166,0.14860276,1,-0.28314307,0.234643534,0.223795649,0.161289319,0.028145129,-0.046096332,0.346503674,0.126674406,0.674147389,0.099538221,-0.030450366,0.093672077,-0.072883692,0.046017017,-0.064499241,-0.141138893,-0.230437043,-0.01517415,-0.169469309,-0.036715886,-0.037263984,-0.229794492,-0.057606545,0.198854431,-0.096515656,0.086276289,0.572729177,0.227927214,0.14175677,-0.329937906,0.61124917
SFRP4,0.478432025,0.055010032,0.197058802,0.097697442,-0.43556073,-0.135421266,-0.276939357,-0.539882686,-0.073500512,0.428253447,-0.408417594,-0.139840484,0.384754059,-0.014157892,0.506278782,0.544715403,-0.021812646,-0.359560784,0.339698697,0.287605529,-0.28314307,1,-0.338773475,0.108577362,0.080663692,0.072549243,-0.190591045,0.204399497,-0.013857233,-0.117144723,0.373820356,-0.2850417,-0.272474703,-0.21174962,-0.62559285,-0.283270696,0.415839461,0.089759875,-0.067264997,-0.266828217,-0.161723381,0.074126273,0.157896973,0.219334113,-0.330737726,-0.259242719,-0.333897244,-0.599247119,-0.284241795,-0.00693879,0.222368267,-0.320732674
VEGFA,-0.31380201,0.12488525,-0.431690209,-0.024944632,-0.107036833,0.058535607,0.456674913,0.796540902,-0.411968923,0.214091147,0.208295602,0.183855434,0.058950026,0.643017799,-0.13271335,-0.085050704,-0.200794821,0.065462302,-0.387336506,-0.471727914,0.234643534,-0.338773475,1,-0.00729009,-0.447706892,-0.551085592,0.758729775,-0.099671733,0.695024608,0.003466463,-0.158202881,0.851015886,0.440838499,0.875015028,0.566291125,0.847689132,-0.216865924,0.510420473,0.146116702,0.811902987,0.819711783,0.451367143,-0.086991794,0.399023097,0.620335346,0.86718762,-0.121951054,0.014443392,-0.127610878,-0.041577184,0.280076777,-0.052242512
WNT2,-0.234069313,-0.023153328,0.236509555,0.266991393,0.182749942,0.047368532,0.018002856,0.083632736,0.083489003,0.052145339,-0.217692045,0.11805931,-0.148921873,-0.125268969,0.003884937,0.096921092,-0.119685097,0.311572155,0.07137359,0.171857598,0.223795649,0.108577362,-0.00729009,0,0.204489781,0.045592217,-0.038782501,0.080379447,0.070067066,0.038368167,-0.026920357,0.980259215,-0.216261862,-0.120711964,-0.137507287,-0.058197687,-0.12382395,0.034523546,0.10466659,-0.094781577,-0.132395457,-0.072590125,-0.153862333,-0.195960672,-0.037120194,-0.051727167,-0.0370079,0.144699386,0.095967784,-0.168629019,-0.108712753,0.048219668
CDC45,-0.051010024,0.018674162,0.447448031,0.340827282,0.253580399,0.09247547,-0.254949451,-0.305322461,0.368655534,0.069746941,-0.257999207,-0.090285754,-0.071603435,-0.245921695,0.169063096,0.146555129,0.239559934,0.28762124,-0.023398962,0.408688631,0.161289319,0.080663692,-0.447706892,0.204489781,1,0.888373796,-0.342960726,0.498511147,-0.273232351,0.247469471,0.445027411,-0.472264418,-0.105617411,-0.46143625,-0.485002226,-0.405294017,-0.170594504,-0.212693046,-0.035965857,-0.429108758,-0.357506329,-0.064217166,-0.274176667,-0.215982096,-0.307742133,-0.429390822,-0.107540267,0.150561532,0.425333126,0.326430405,-0.094495587,0.346573504
CDC6,-0.020494871,-0.004118836,0.4825702,0.16154141,0.329630279,0.145621983,-0.338983069,-0.362858912,0.522792306,-0.057727921,-0.297695223,-0.148088692,-0.047150162,-0.249808812,0.10825581,0.102860078,0.269286882,0.185248861,0.004510401,0.375773386,0.028145129,0.072549243,-0.551085592,0.045592217,0.888373796,1,-0.3759172,0.431984171,-0.344480834,0.113247207,0.406995752,-0.464623619,-0.169274016,-0.490258506,-0.549971108,-0.445636869,-0.123324035,-0.227418955,-0.012233754,-0.33762719,-0.399513161,-0.072888958,-0.244425769,-0.22304289,-0.374332433,-0.459717277,0.16840904,0.05032644,0.411411619,0.250366119,-0.106544846,0.281182026
CDC7,-0.246368396,-0.088847215,-0.291144102,0.094635288,-0.091373915,-0.240476314,0.081561659,0.461714638,-0.231379893,0.047894334,0.109015732,0.082716044,0.0441465,0.804164176,-0.120821473,-0.046734428,-0.141133683,-0.117864814,-0.240056526,-0.244597748,-0.046096332,-0.190591045,0.758729775,-0.038782501,-0.342960726,-0.3759172,1,-0.257011354,0.910211233,-0.204659087,-0.239154271,0.99670321,0.469927122,0.923896743,0.262762641,0.97039107,-0.04871337,0.316916928,-0.008216458,0.927254267,0.910299928,0.544068265,-0.006424742,0.416093152,0.31915887,0.968599965,-0.098351108,-0.121518289,-0.083180358,0.05989754,0.190446196,-0.110786803
CK2,0.424616787,0.447902395,0.045342639,0.059695106,-0.222549434,0.023802273,-0.024422261,-0.146586366,0.011947424,0.458394504,-0.150093441,-0.368310766,0.447275692,-0.116382039,0.557845841,0.27087672,0.310825846,0.306727773,-0.020571637,0.231945606,0.346503674,0.204399497,-0.099671733,0.080379447,0.498511147,0.431984171,-0.257011354,1,-0.080541489,0.307602296,0.815620957,-0.47034162,-0.133264258,-0.289684263,-0.455769146,-0.273315986,-0.253715827,0.047583807,0.134393827,-0.408426726,-0.149974434,0.207106625,-0.395100706,0.021208915,-0.032584659,-0.315986375,-0.260682917,-0.064560784,0.152093353,0.134855995,0.013417132,0.083745871
DLL1,-0.171187532,-0.088095619,-0.239026859,0.271242355,-0.093556381,-0.250290411,0.018207092,0.433355451,-0.13977024,0.282911578,-0.020476527,-0.057374918,0.141661234,0.700088446,0.114625469,0.154951137,-0.058665778,-0.063208508,-0.339438626,-0.179602185,0.126674406,-0.013857233,0.695024608,0.070067066,-0.273232351,-0.344480834,0.910211233,-0.080541489,1,-0.058098155,-0.04543886,0.961188073,0.472638388,0.868676526,0.096965859,0.876384708,-0.069842825,0.322129463,-0.102250048,0.791755281,0.889465251,0.584822888,-0.099177453,0.528597323,0.328618253,0.88448557,-0.190145092,-0.105175891,-0.016462879,0.201191144,0.05247516,-0.04429724
DLL3,-0.121490147,0.031068132,0.093951316,0.073702303,0.283074491,0.266099821,-0.022753744,0.236328547,0.029274306,0.272143354,0.185909435,-0.306809799,-0.269764719,-0.347023667,0.219318514,0.15858921,0.169437111,0.282570483,-0.429222274,0.056658329,0.674147389,-0.117144723,0.003466463,0.038368167,0.247469471,0.113247207,-0.204659087,0.307602296,-0.058098155,1,-0.039942864,-0.275604192,0.265403466,-0.269845131,-0.065149366,-0.270820071,0.027409709,-0.514989365,-0.183123276,-0.336255609,-0.2103704,-0.097904161,-0.184024907,0.018946068,-0.158183917,-0.320276096,0.16798064,0.573351378,0.225102932,0.119795191,-0.35907511,0.554542496
JAG1,0.490520608,0.326901314,0.142425397,0.014063945,-0.251148555,-0.11818174,-0.164330683,-0.310643479,0.055664316,0.523310609,-0.342691682,-0.311649485,0.574828386,-0.04810036,0.598871731,0.395977975,0.320065789,0.285345345,0.085165278,0.310587708,0.099538221,0.373820356,-0.158202881,-0.026920357,0.445027411,0.406995752,-0.239154271,0.815620957,-0.04543886,-0.039942864,1,-0.412390648,-0.242519825,-0.198687934,-0.504757702,-0.239419458,-0.242774656,0.330229938,0.067333999,-0.368361542,-0.094881503,0.238804363,-0.325378277,0.219726638,-0.008726645,-0.241329225,-0.360367518,-0.262308755,0.147377341,0.202835733,-0.008758593,-0.012450588
BMP2,-0.375181539,-0.259487894,-0.479435403,0.361470381,-0.118084353,-0.38236455,0.018510315,0.553028006,-0.451955435,0.042572648,0.169413423,0.059402262,-0.002156998,0.885254279,-0.203244096,-0.061361745,-0.360681457,-0.357671329,-0.398246541,-0.462103231,-0.030450366,-0.2850417,0.851015886,0.980259215,-0.472264418,-0.464623619,0.99670321,-0.47034162,0.961188073,-0.275604192,-0.412390648,1,0.976634572,0.941652683,0.281064883,0.980249152,-0.113669357,0.334174396,-0.095431784,0.996203292,0.948306552,0.788156563,0.248691683,0.498616579,0.398846619,0.973921963,-0.173805253,-0.201929392,-0.16067295,0.155269173,0.195022201,-0.223542659
BMPR1A,-0.046107979,-0.254302694,-0.412530377,-0.02032599,-0.143603697,-0.144160226,-0.022747505,0.326123611,-0.14799128,-0.021410224,0.26342363,0.007367225,-0.138576558,0.42186727,-0.123802186,-0.144617485,-0.042419338,-0.099156205,-0.389218371,-0.135890164,0.093672077,-0.272474703,0.440838499,-0.216261862,-0.105617411,-0.169274016,0.469927122,-0.133264258,0.472638388,0.265403466,-0.242519825,0.976634572,1,0.539432368,0.227135552,0.53083017,-0.162598213,-0.053256683,-0.216933167,0.55309221,0.580038972,0.437878971,-0.009167755,0.336915759,0.251395665,0.515288615,0.219591417,-0.031153898,-0.113560783,-0.022453396,-0.231079827,0.033126715
BMPR1B,-0.265692242,-0.09886478,-0.416993423,0.070287626,-0.162559654,-0.262287811,0.258578522,0.596840613,-0.35031199,0.180557121,0.07900564,0.18703403,0.08429516,0.792196348,-0.084490442,-0.047582942,-0.181720631,-0.238993269,-0.321468216,-0.389064027,-0.072883692,-0.21174962,0.875015028,-0.120711964,-0.46143625,-0.490258506,0.923896743,-0.289684263,0.868676526,-0.269845131,-0.198687934,0.941652683,0.539432368,1,0.385321827,0.963356341,-0.044115934,0.487252736,-0.018740725,0.961889969,0.952866717,0.639185977,-0.049076555,0.597419092,0.518360895,0.97536174,-0.200612201,-0.163087659,-0.115026762,0.092617581,0.190711857,-0.143942235
LEF1,-0.447838436,-0.081359601,-0.418841945,-0.177915576,0.004025855,0.173699702,0.563402551,0.609621285,-0.348543413,-0.251349213,0.439292597,0.451834991,-0.245441769,0.072051326,-0.500258712,-0.34015836,-0.280992862,-0.023656555,-0.271105133,-0.519482321,0.046017017,-0.62559285,0.566291125,-0.137507287,-0.485002226,-0.549971108,0.262762641,-0.455769146,0.096965859,-0.065149366,-0.504757702,0.281064883,0.227135552,0.385321827,1,0.414548773,-0.216122825,0.16938855,0.030984018,0.386136177,0.32370064,-0.175842573,0.028601079,-0.0986761,0.565859173,0.389879266,0.035424032,0.293568186,-0.091726078,-0.117863314,0.05613023,-0.056086411
